trajectory,time,wealth,wealth_real,liquidity,alloc_actions,alloc_obligations,alloc_cash,alloc_or,alloc_crypto,alloc_scpi,solver
119,9,350.5082237446918,293.28960195004277,175.2541118723459,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
119,10,353.9370906122448,290.35169054651374,176.9685453061224,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
119,11,380.4893721973352,306.0135388261265,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
119,12,362.40522244904116,285.754044696221,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
119,13,335.3571463819439,259.24198167127577,0.0,0.48,0.0,0.0,0.16000000000000003,0.12,0.24,DP
119,14,282.8474824144862,214.36304268961447,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
119,15,323.4195022717776,240.30545415348604,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
119,16,400.1470514845916,291.4854445240449,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
119,17,428.1851582376381,305.7938098164455,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
119,18,445.0956562138973,311.6378964546362,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,19,458.62823405489894,314.8165271543779,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,20,687.1394035416319,462.4251204324874,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,21,995.9998700180555,657.1366277465713,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,22,1019.0710614636171,659.1749430651803,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,23,961.9646704602301,610.0355883883972,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,24,1079.6465254802044,671.2394442695563,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,25,1389.7873967781536,847.1183218074185,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,26,1814.4856092524549,1084.2990127143955,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,27,1906.111697011103,1116.7184948128724,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,28,2108.814512066516,1211.24939250606,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,29,2079.0514560908837,1170.7394613110553,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
119,30,2029.350192237044,1120.3451646798594,0.0,,,,,,,DP
120,0,200.0,200.0,80.0,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
120,1,211.0564838607758,206.91812143213315,84.42259354431032,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
120,2,230.9853206529067,222.01587913581957,92.39412826116266,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
120,3,243.5020900961184,229.457458006459,121.7510450480592,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,4,257.36500963920236,237.76548697444684,128.68250481960118,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,5,263.55939937555775,238.71386823471013,105.42375975022308,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
120,6,259.87865152518145,230.7648053954991,129.93932576259073,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,7,258.4207937225767,224.97085234067575,129.21039686128836,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,8,262.1129522696468,223.71088092635682,131.0564761348234,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,9,289.22572537391494,242.01114873246266,144.61286268695747,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,10,285.7347274350665,234.40199786664763,142.86736371753324,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,11,278.8086635499982,224.23550307225995,139.4043317749991,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,12,303.971570809743,239.67950915431857,60.7943141619486,0.07999999999999999,0.13999999999999999,0.06,0.28,0.019999999999999997,0.42000000000000004,DP
120,13,227.7882945238484,176.08776049944981,113.8941472619242,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,14,233.8544570424983,177.23245238116445,116.92722852124915,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,15,224.41986183075755,166.74726304224106,112.20993091537878,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,16,235.38559685024578,171.46565263418796,117.69279842512289,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,17,234.99410893046885,167.8239949979478,117.49705446523443,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,18,242.70316765790352,169.93089816953454,121.35158382895176,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
120,19,251.97761036852359,172.96518253034978,25.197761036852356,0.15999999999999998,0.06999999999999999,0.03,0.28,0.039999999999999994,0.42000000000000004,DP
120,20,241.6149640124142,162.5999444302897,24.16149640124142,0.15999999999999998,0.06999999999999999,0.03,0.28,0.039999999999999994,0.42000000000000004,DP
120,21,250.65737575871876,165.37767482128652,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
120,22,253.10844485072357,163.720422483755,0.0,0.4,0.0,0.0,0.2,0.1,0.3,DP
120,23,285.2080260468904,180.86635749249288,0.0,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
120,24,252.11706098335182,156.74659428933788,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,25,271.49987271622086,165.48755376503502,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,26,271.9917205475026,162.53661784490552,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,27,315.5427327323874,184.8645103529836,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,28,358.00420862221824,205.62850726180753,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,29,365.8841187361347,206.03385010817524,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
120,30,409.0306170710398,225.81389638641073,0.0,,,,,,,DP
121,0,200.0,200.0,80.0,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
121,1,208.7489269382735,204.65581072379757,83.4995707753094,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
121,2,224.60868263262208,215.8868537414668,89.84347305304883,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
121,3,231.847158620452,218.47475576932322,115.923579310226,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,4,235.713492379935,217.76283178793855,117.8567461899675,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,5,238.2853320762657,215.82236679202654,71.48559962287972,0.0799999999999999,0.21000000000000002,0.09000000000000001,0.24000000000000005,0.019999999999999976,0.36000000000000004,DP
121,6,244.77384124306394,217.35216613162703,122.38692062153197,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,7,262.9158547812035,228.88407349875433,131.45792739060175,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,8,276.0927536763721,235.64250681814684,138.04637683818606,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,9,301.81769842347734,252.5475484894106,150.90884921173867,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,10,314.4597972351112,257.9665600409095,157.2298986175556,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,11,335.8044159936437,270.0750801479951,167.90220799682186,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,12,338.4630480096598,266.87580354218323,101.53891440289796,0.0799999999999999,0.21000000000000002,0.09000000000000001,0.24000000000000005,0.019999999999999976,0.36000000000000004,DP
121,13,275.6714359867507,213.10298625328264,137.83571799337534,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,14,270.76061547422205,205.2027081100664,135.38030773711102,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
121,15,297.9087969106153,221.35062429774536,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
121,16,282.7122473824827,205.9405530915125,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
121,17,296.69266285545257,211.88679236939518,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
121,18,262.12771774659984,183.53117901862458,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
121,19,239.69575340072336,164.53453812055352,23.969575340072335,0.15999999999999998,0.06999999999999999,0.03,0.28,0.039999999999999994,0.42000000000000004,DP
121,20,227.0703210818931,152.81181668775625,45.41406421637861,0.07999999999999999,0.13999999999999999,0.06,0.28,0.019999999999999997,0.42000000000000004,DP
121,21,231.44448930670046,152.70147696984682,23.144448930670045,0.07999999999999999,0.06999999999999999,0.03,0.32000000000000006,0.019999999999999997,0.48,DP
121,22,206.49624293656316,133.56983072935813,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
121,23,209.3388495451135,132.75347024304574,0.0,0.48,0.0,0.0,0.16000000000000003,0.12,0.24,DP
121,24,257.5771615856853,160.14125616011643,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,25,335.835601419594,204.70216648767322,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,26,418.58704978801507,250.13894985211064,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,27,529.6264573035421,310.2880388072245,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,28,666.5905485435319,382.872648283524,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,29,736.3942328492631,414.67265514414817,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
121,30,768.105593363996,424.04873775890377,0.0,,,,,,,DP
122,0,200.0,200.0,80.0,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
122,1,203.88357516428374,199.88585800419975,81.55343006571348,0.07999999999999999,0.27999999999999997,0.12,0.2,0.019999999999999997,0.3,DP
