Solver,Time (s),Mean Wealth (k€),Std Wealth (k€),Sharpe Ratio,Ruin Rate
DP,6.916024100035429,190.06557534051353,189.3784454242095,-0.05245805314494558,0.015
OR-Tools,3.400025889277458e-06,12.957600827514216,66.27569266803165,-2.822186928546921,0.805
RL,190.30259959993418,145.86171119725878,132.1808144872921,-0.40957750331301696,0.06
