Solver,Time (s),Mean Wealth,Sharpe Ratio
DP,0.9070395000162534,123.822377465268,0.7832010150536438
OR-Tools,2.2999884095042944e-06,191.2618364728571,0.9912767706121403
RL,24.993427499983227,116.20896988676841,0.7670609715393303
