trajectory,time,wealth,alloc_actions,alloc_obligations,alloc_cash,alloc_or,alloc_crypto,alloc_scpi,solver
0,0,100.0,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,1,104.89696316507788,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,2,107.08548596831422,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,3,108.92391866554136,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,4,106.7362335530183,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,5,108.41006428618611,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
0,6,91.73736394467437,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
0,7,91.56242471093452,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
0,8,92.55737991461274,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,9,104.35806383474711,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
0,10,140.2613007901235,,,,,,,DP
1,0,100.0,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
1,1,108.603134130252,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
1,2,110.42264943198742,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
1,3,118.48201030852964,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
1,4,127.89294591875425,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
1,5,127.5475873965172,0.4,0.13999999999999999,0.06,0.12000000000000002,0.1,0.18000000000000002,DP
1,6,100.29241228464551,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
1,7,119.13434948663063,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
1,8,133.0942785840329,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
1,9,122.76066173187198,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
1,10,117.93075932022619,,,,,,,DP
2,0,100.0,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
2,1,101.34102120419935,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
2,2,101.54333539658784,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
2,3,101.484942001038,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
2,4,99.66086141103189,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
2,5,101.08378016791036,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
2,6,83.62611722491022,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
2,7,93.6766108630378,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
2,8,128.88894881148374,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
2,9,136.1471008612051,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
2,10,179.56501314011192,,,,,,,DP
3,0,100.0,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
3,1,103.19077292953634,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
3,2,99.62912336363357,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
3,3,101.80389137576843,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
3,4,101.74810833666243,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
3,5,108.21461007834972,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
3,6,91.25570321836827,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
3,7,95.3821426080129,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
3,8,90.17455507478304,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
3,9,96.86203285005072,0.5599999999999999,0.0,0.0,0.12000000000000002,0.13999999999999999,0.18000000000000002,DP
3,10,93.5118460288953,,,,,,,DP
4,0,100.0,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
4,1,99.77249677948575,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
4,2,106.61537508546724,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
4,3,110.35894225562726,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
4,4,121.36025520387145,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
4,5,128.25327889870576,0.4,0.13999999999999999,0.06,0.12000000000000002,0.1,0.18000000000000002,DP
