Date,AAPL,MSFT,AMZN,GOOGL,META,JPM,XOM,JNJ,NVDA,PG
2018-01-02,40.34188461303711,79.05037689208984,59.45050048828125,53.258094787597656,180.16152954101562,86.34090423583984,58.97088623046875,111.35301208496094,4.928532123565674,72.82498931884766
2018-01-03,40.33485412597656,79.41826629638672,60.209999084472656,54.16672897338867,183.38894653320312,86.42887878417969,60.12907791137695,112.41671752929688,5.25290060043335,72.73661041259766
2018-01-04,40.52220916748047,80.11725616455078,60.47949981689453,54.377140045166016,183.0513153076172,87.66703796386719,60.21228790283203,112.40872192382812,5.280588150024414,73.25077819824219
2018-01-05,40.98358917236328,81.1105728149414,61.457000732421875,55.09819030761719,185.55384826660156,87.10423278808594,60.16375732421875,113.33646392822266,5.3253374099731445,73.29896545410156
2018-01-08,40.83134460449219,81.19332885742188,62.34349822998047,55.292720794677734,186.97390747070312,87.23284912109375,60.434234619140625,113.48040008544922,5.488509654998779,73.6845703125
2018-01-09,40.82667922973633,81.13813781738281,62.6349983215332,55.22225570678711,186.56675720214844,87.67506408691406,60.177635192871094,115.27995300292969,5.487025737762451,73.14633178710938
2018-01-10,40.81730270385742,80.770263671875,62.71649932861328,55.09075164794922,186.53695678710938,88.63986206054688,59.69907760620117,115.14396667480469,5.530044078826904,72.68038177490234
2018-01-11,41.049163818359375,81.00940704345703,63.83399963378906,55.18553924560547,186.46746826171875,89.11421966552734,60.288570404052734,115.79975891113281,5.539933204650879,72.42330169677734
2018-01-12,41.4730339050293,82.40737915039062,65.26000213623047,56.10856246948242,178.12574768066406,90.58550262451172,60.69776916503906,116.5755615234375,5.512737274169922,71.98947143554688
2018-01-16,41.26226806640625,81.25773620605469,65.24299621582031,56.11104202270508,177.15252685546875,90.2638931274414,60.31633758544922,117.45530700683594,5.441782474517822,72.47953796386719
2018-01-17,41.943763732910156,82.90401458740234,64.75,56.52789306640625,176.3680419921875,90.8427734375,61.03066635131836,117.55130767822266,5.555754661560059,73.26683807373047
2018-01-18,41.98122787475586,82.86723327636719,64.66600036621094,56.37256622314453,178.55274963378906,91.0598373413086,60.63536834716797,117.50330352783203,5.548832893371582,72.99971008300781
2018-01-19,41.793888092041016,82.77523803710938,64.72899627685547,56.746238708496094,180.0323944091797,90.8588638305664,60.44116973876953,117.85523223876953,5.689012050628662,73.72014617919922
2018-01-22,41.45196533203125,84.25603485107422,66.3655014038086,57.77149200439453,184.08412170410156,91.92012023925781,61.20405197143555,118.47900390625,5.777519702911377,74.3839340209961
2018-01-23,41.46133041381836,84.52272033691406,68.12699890136719,58.367488861083984,188.0364990234375,91.82365417480469,61.23873519897461,113.43243408203125,5.906576156616211,72.08499145507812
2018-01-24,40.800907135009766,84.44915771484375,67.87550354003906,58.12532043457031,185.2559051513672,92.99746704101562,61.398216247558594,113.62438201904297,5.829686641693115,71.48595428466797
2018-01-25,40.07257843017578,84.918212890625,68.89749908447266,58.663753509521484,186.17947387695312,93.02159118652344,61.287261962890625,115.48787689208984,5.843284606933594,71.5102310180664
2018-01-26,40.16624069213867,86.50933837890625,70.10250091552734,58.932716369628906,188.68199157714844,93.52005767822266,61.724185943603516,116.23165893554688,6.015851020812988,71.01647186279297
2018-01-29,39.33486557006836,86.38056945800781,70.88400268554688,58.87913131713867,184.68988037109375,93.42357635498047,61.03760528564453,114.91201782226562,6.10287618637085,70.31221008300781
2018-01-30,39.103004455566406,85.29530334472656,71.89099884033203,58.427040100097656,185.8219757080078,92.54724884033203,60.1845703125,113.91229248046875,6.0007710456848145,70.38505554199219
2018-01-31,39.21073913574219,87.38308715820312,72.54450225830078,58.667724609375,185.59353637695312,92.99746704101562,60.545204162597656,110.52124786376953,6.07691764831543,69.89127349853516
2018-02-01,39.29270935058594,86.69330596923828,69.5,58.63645935058594,191.7505645751953,93.9622573852539,61.77274703979492,111.98482513427734,5.945885181427002,69.49461364746094
2018-02-02,37.587791442871094,84.41238403320312,71.49749755859375,55.54035186767578,188.96006774902344,91.87992095947266,58.624114990234375,110.11333465576172,5.773318290710449,68.19944763183594
2018-02-05,36.64868927001953,80.93584442138672,69.5,52.72114944458008,180.00262451171875,87.47408294677734,55.288238525390625,104.28299713134766,5.283308982849121,65.6171646118164
2018-02-06,38.180294036865234,83.9985122680664,72.14199829101562,53.81488800048828,184.02452087402344,90.13526153564453,54.33810043334961,105.43468475341797,5.577018737792969,66.68567657470703
2018-02-07,37.362972259521484,82.41654968261719,70.83899688720703,52.37477111816406,178.93011474609375,90.74630737304688,53.3602180480957,105.10675048828125,5.656627655029297,66.24858093261719
2018-02-08,36.33488082885742,78.18584442138672,67.5250015258789,50.007659912109375,170.38978576660156,86.7343978881836,52.75685501098633,101.05989074707031,5.377748489379883,64.93720245361328
2018-02-09,36.77928924560547,81.10136413574219,66.9800033569336,51.921199798583984,174.88833618164062,88.47101593017578,53.09314727783203,103.59519958496094,5.73771858215332,64.69434356689453
2018-02-12,38.26072311401367,81.97510528564453,69.3115005493164,52.33259582519531,175.18629455566406,89.83778381347656,53.54155731201172,104.18699645996094,5.637587547302246,65.83572387695312
2018-02-13,38.644004821777344,82.61890411376953,70.72550201416016,52.31174850463867,171.94888305664062,90.3925552368164,53.457481384277344,103.9390869140625,5.751314640045166,65.97335052490234
2018-02-14,39.356502532958984,83.91256713867188,72.55249786376953,53.232784271240234,178.2747039794922,92.48290252685547,53.56957244873047,103.70714569091797,5.968630313873291,65.30956268310547
