timestamp,open,high,low,close,volume,time
1769380800000,86520.0,86520.0,86372.03,86427.94,17.67079,2026-01-25 22:40:00
1769380860000,86427.95,86467.32,86411.83,86467.32,7.48444,2026-01-25 22:41:00
1769380920000,86467.31,86500.1,86467.31,86500.1,10.29289,2026-01-25 22:42:00
1769380980000,86500.09,86534.91,86500.09,86534.9,8.41667,2026-01-25 22:43:00
1769381040000,86534.91,86634.61,86534.9,86634.6,8.66784,2026-01-25 22:44:00
1769381100000,86634.6,86634.61,86496.0,86496.01,9.09409,2026-01-25 22:45:00
1769381160000,86496.0,86527.69,86460.0,86460.01,10.32688,2026-01-25 22:46:00
1769381220000,86460.01,86496.0,86457.01,86464.9,13.58169,2026-01-25 22:47:00
1769381280000,86464.89,86464.9,86451.4,86452.09,7.03613,2026-01-25 22:48:00
1769381340000,86452.09,86452.1,86428.43,86428.44,2.96508,2026-01-25 22:49:00
1769381400000,86428.44,86449.93,86370.31,86370.31,13.43601,2026-01-25 22:50:00
1769381460000,86370.31,86418.22,86365.8,86418.22,7.40789,2026-01-25 22:51:00
1769381520000,86418.21,86418.22,86413.11,86413.12,7.42481,2026-01-25 22:52:00
1769381580000,86413.12,86413.12,86295.2,86295.2,11.55794,2026-01-25 22:53:00
1769381640000,86294.7,86355.57,86291.04,86343.15,13.78764,2026-01-25 22:54:00
1769381700000,86343.16,86446.29,86343.15,86446.28,19.65287,2026-01-25 22:55:00
1769381760000,86446.28,86488.39,86419.24,86488.38,10.6056,2026-01-25 22:56:00
1769381820000,86488.38,86554.87,86470.74,86546.0,27.0046,2026-01-25 22:57:00
1769381880000,86545.99,86546.0,86518.17,86526.07,10.14317,2026-01-25 22:58:00
1769381940000,86526.08,86543.01,86501.12,86521.39,8.95102,2026-01-25 22:59:00
1769382000000,86521.39,86529.99,86240.85,86270.99,51.45375,2026-01-25 23:00:00
1769382060000,86270.99,86270.99,86074.72,86074.73,72.44033,2026-01-25 23:01:00
1769382120000,86074.73,86576.35,86074.73,86539.39,43.7693,2026-01-25 23:02:00
1769382180000,86539.38,86562.49,86412.46,86440.0,41.3635,2026-01-25 23:03:00
1769382240000,86440.0,86561.83,86425.43,86487.84,21.95297,2026-01-25 23:04:00
1769382300000,86487.45,86498.79,86317.75,86317.76,21.28839,2026-01-25 23:05:00
1769382360000,86317.76,86333.75,86257.55,86299.99,21.39671,2026-01-25 23:06:00
1769382420000,86300.0,86359.99,86232.01,86306.29,22.29907,2026-01-25 23:07:00
1769382480000,86306.3,86370.03,86306.29,86358.23,22.67618,2026-01-25 23:08:00
1769382540000,86358.24,86385.65,86350.64,86358.34,7.1402,2026-01-25 23:09:00
1769382600000,86358.33,86419.95,86336.55,86395.75,10.55047,2026-01-25 23:10:00
1769382660000,86395.75,86417.17,86373.88,86379.88,10.82803,2026-01-25 23:11:00
1769382720000,86379.88,86431.13,86379.88,86380.65,9.36595,2026-01-25 23:12:00
1769382780000,86380.64,86469.41,86364.51,86461.37,41.39205,2026-01-25 23:13:00
1769382840000,86461.37,86466.86,86368.96,86383.24,22.15147,2026-01-25 23:14:00
1769382900000,86383.24,86392.13,86242.0,86242.0,17.19118,2026-01-25 23:15:00
1769382960000,86242.01,86306.69,86223.49,86280.0,7.87638,2026-01-25 23:16:00
1769383020000,86280.0,86337.98,86261.75,86331.3,10.15133,2026-01-25 23:17:00
1769383080000,86331.3,86397.23,86220.19,86383.63,46.44948,2026-01-25 23:18:00
1769383140000,86383.62,86547.75,86371.56,86509.61,25.15751,2026-01-25 23:19:00
1769383200000,86509.6,86532.84,86454.96,86525.79,12.82464,2026-01-25 23:20:00
1769383260000,86525.79,86572.65,86480.02,86571.62,23.18385,2026-01-25 23:21:00
1769383320000,86571.62,86663.19,86558.3,86648.66,15.93447,2026-01-25 23:22:00
1769383380000,86648.67,86663.2,86618.0,86638.71,18.46422,2026-01-25 23:23:00
1769383440000,86638.72,86754.57,86586.93,86586.94,85.87603,2026-01-25 23:24:00
