strategy,mean,vol,sharpe,max_drawdown,final_equity,avg_turnover_L1,avg_turnover_lots,avg_selected_assets
equal_weight,0.24164070757999107,0.19493512302470473,1.23959553224981,-0.29102834115080534,3.083872140995749,,,
cvxpy,0.24164070757999112,0.19493512302470475,1.2395955322498102,-0.291028341150805,3.08387214099576,6.175615574477434e-17,,
cpsat_cvar,0.18129381076009513,0.15968736001220296,1.1353047025527947,-0.18344552360375144,2.345568030610109,,1025.7333333333333,4.366666666666666
