turnover_cap_lots,lambda_cvar,mean,vol,sharpe,maxDD,avg_turnover_lots,avg_turnover_weight,avg_cost,avg_selected_assets,pct_optimal
None,0.1,0.1301283357584941,0.20948805212566138,0.6211730666168811,-0.26786002649414253,179.25,0.08962500000000001,8.962500000000001e-05,4.666666666666667,1.0
None,0.3,0.1289069391671729,0.18063683862341098,0.7136248627331007,-0.2708080975724303,372.72222222222223,0.1863611111111111,0.0001863611111111111,4.805555555555555,1.0
None,1.0,0.11054913140573976,0.1825438021196612,0.605603313407883,-0.28303910396641185,499.77777777777777,0.24988888888888885,0.0002498888888888889,4.763888888888889,1.0
800,0.1,0.13209149314265264,0.20876760702413313,0.6327202530389838,-0.26786002649414253,178.86111111111111,0.08943055555555555,8.943055555555555e-05,4.722222222222222,1.0
800,0.3,0.12977882779371236,0.18010331514255723,0.7205798943289217,-0.2708080975724303,356.27777777777777,0.1781388888888889,0.0001781388888888889,4.805555555555555,1.0
800,1.0,0.11336924952421507,0.1815521419940941,0.6244445715650271,-0.28303910396641185,464.0,0.232,0.000232,4.777777777777778,1.0
400,0.1,0.1259330659403144,0.20785818585375404,0.6058605073601433,-0.26845085769364285,166.61111111111111,0.08330555555555556,8.330555555555556e-05,4.736111111111111,1.0
400,0.3,0.1518505969497425,0.17870943756701982,0.8497066468176608,-0.26122079596913084,283.27777777777777,0.1416388888888889,0.0001416388888888889,4.833333333333333,1.0
400,1.0,0.11892936084344373,0.17762069721908602,0.6695692715176681,-0.2756253184992118,347.80555555555554,0.17390277777777777,0.0001739027777777778,4.861111111111111,1.0
200,0.1,0.14610469197356463,0.2053300015441777,0.7115603705001168,-0.26786002649414253,128.83333333333334,0.06441666666666666,6.441666666666667e-05,4.777777777777778,1.0
200,0.3,0.1327652284817326,0.18114419352274,0.7329256649071993,-0.2558059565032753,184.80555555555554,0.09240277777777778,9.240277777777778e-05,4.916666666666667,1.0
200,1.0,0.12520457493473408,0.17797085427527456,0.7035116814187744,-0.25967989699865535,202.69444444444446,0.10134722222222221,0.00010134722222222224,4.875,1.0
100,0.1,0.15190202892696572,0.19667271716150242,0.7723594361195905,-0.26786002649414253,82.33333333333333,0.04116666666666667,4.1166666666666673e-05,5.0,1.0
100,0.3,0.1349072417466539,0.1818556528404462,0.7418369439690544,-0.2545426443862353,104.88888888888889,0.052444444444444446,5.244444444444446e-05,5.0,1.0
100,1.0,0.12558407543200656,0.17905994581554266,0.7013521357890732,-0.25606136810115676,112.36111111111111,0.05618055555555555,5.618055555555557e-05,4.944444444444445,1.0
